,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province
0,3.0,52.0,8.0,31.0,77.0,4.0,0.0,5.0,0.0,Within,1.0,181.0,0.0,BANGUED,ABRA
1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,6.0,0.0,BANGUED,ABRA
2,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,6.0,0.0,BOLINEY,ABRA
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BOLINEY,ABRA
4,0.0,3.0,1.0,9.0,7.0,0.0,0.0,1.0,0.0,Within,0.0,21.0,0.0,BUCAY,ABRA
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUCAY,ABRA
6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,7.0,0.0,BUCLOC,ABRA
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUCLOC,ABRA
8,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,4.0,0.0,DAGUIOMAN,ABRA
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DAGUIOMAN,ABRA
10,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,DANGLAS,ABRA
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DANGLAS,ABRA
12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Within,0.0,2.0,0.0,DOLORES,ABRA
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DOLORES,ABRA
14,0.0,3.0,1.0,8.0,11.0,1.0,0.0,1.0,0.0,Within,1.0,26.0,0.0,LA PAZ,ABRA
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LA PAZ,ABRA
16,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,Within,0.0,14.0,0.0,LACUB,ABRA
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LACUB,ABRA
18,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,4.0,0.0,LAGANGILANG,ABRA
19,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,8.0,0.0,LAGANGILANG,ABRA
20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,LAGAYAN,ABRA
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LAGAYAN,ABRA
22,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,LANGIDEN,ABRA
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LANGIDEN,ABRA
24,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,5.0,0.0,LICUAN-BAAY,ABRA
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LICUAN-BAAY,ABRA
26,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,8.0,0.0,LUBA,ABRA
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LUBA,ABRA
28,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,Within,0.0,11.0,0.0,MALIBCONG,ABRA
29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,cross,0.0,1.0,0.0,MALIBCONG,ABRA
30,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,8.0,0.0,MANABO,ABRA
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,MANABO,ABRA
32,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,5.0,0.0,PENARRUBIA,ABRA
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,PENARRUBIA,ABRA
34,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,5.0,0.0,PIDIGAN,ABRA
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,PIDIGAN,ABRA
36,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,Within,0.0,11.0,0.0,PILAR,ABRA
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,PILAR,ABRA
