,Unnamed: 0,DENTIST,DOCTOR,MEDICAL TECHNOLOGIST,MIDWIFE,NURSE,NUTRITIONIST/DIETICIAN,OCCUPATIONAL THERAPIST,PHARMACIST,PHYSICAL THERAPIST,Place of Practice,RADIOLOGY TECHNOLOGIST,Total,X-RAY TECHNOLOGIST,municipality,province,name_municipality_trim_ndh,pcode,Pcode_province,name_province,Pcode_municipality,name_municipality,name_municipality_trim_pcodes
0,0,3.0,52.0,8.0,31.0,77.0,4.0,0.0,5.0,0.0,Within,1.0,181.0,0.0,BANGUED,ABRA,BANGUED,140101000.0,140100000,ABRA,140101000,BANGUED (CAPITAL),BANGUED
1,1,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,6.0,0.0,BANGUED,ABRA,BANGUED,140101000.0,140100000,ABRA,140101000,BANGUED (CAPITAL),BANGUED
2,2,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,6.0,0.0,BOLINEY,ABRA,BOLINEY,140102000.0,140100000,ABRA,140102000,BOLINEY,BOLINEY
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BOLINEY,ABRA,BOLINEY,140102000.0,140100000,ABRA,140102000,BOLINEY,BOLINEY
4,4,0.0,3.0,1.0,9.0,7.0,0.0,0.0,1.0,0.0,Within,0.0,21.0,0.0,BUCAY,ABRA,BUCAY,140103000.0,140100000,ABRA,140103000,BUCAY,BUCAY
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUCAY,ABRA,BUCAY,140103000.0,140100000,ABRA,140103000,BUCAY,BUCAY
6,6,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,Within,0.0,7.0,0.0,BUCLOC,ABRA,BUCLOC,140104000.0,140100000,ABRA,140104000,BUCLOC,BUCLOC
7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,BUCLOC,ABRA,BUCLOC,140104000.0,140100000,ABRA,140104000,BUCLOC,BUCLOC
8,8,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,4.0,0.0,DAGUIOMAN,ABRA,DAGUIOMAN,140105000.0,140100000,ABRA,140105000,DAGUIOMAN,DAGUIOMAN
9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DAGUIOMAN,ABRA,DAGUIOMAN,140105000.0,140100000,ABRA,140105000,DAGUIOMAN,DAGUIOMAN
10,10,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,DANGLAS,ABRA,DANGLAS,140106000.0,140100000,ABRA,140106000,DANGLAS,DANGLAS
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DANGLAS,ABRA,DANGLAS,140106000.0,140100000,ABRA,140106000,DANGLAS,DANGLAS
12,12,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Within,0.0,2.0,0.0,DOLORES,ABRA,DOLORES,140107000.0,140100000,ABRA,140107000,DOLORES,DOLORES
13,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,DOLORES,ABRA,DOLORES,140107000.0,140100000,ABRA,140107000,DOLORES,DOLORES
14,14,0.0,3.0,1.0,8.0,11.0,1.0,0.0,1.0,0.0,Within,1.0,26.0,0.0,LA PAZ,ABRA,LA PAZ,140108000.0,140100000,ABRA,140108000,LA PAZ,LA PAZ
15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LA PAZ,ABRA,LA PAZ,140108000.0,140100000,ABRA,140108000,LA PAZ,LA PAZ
16,16,0.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,Within,0.0,14.0,0.0,LACUB,ABRA,LACUB,140109000.0,140100000,ABRA,140109000,LACUB,LACUB
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LACUB,ABRA,LACUB,140109000.0,140100000,ABRA,140109000,LACUB,LACUB
18,18,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,4.0,0.0,LAGANGILANG,ABRA,LAGANGILANG,140110000.0,140100000,ABRA,140110000,LAGANGILANG,LAGANGILANG
19,19,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,8.0,0.0,LAGANGILANG,ABRA,LAGANGILANG,140110000.0,140100000,ABRA,140110000,LAGANGILANG,LAGANGILANG
20,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,LAGAYAN,ABRA,LAGAYAN,140111000.0,140100000,ABRA,140111000,LAGAYAN,LAGAYAN
21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LAGAYAN,ABRA,LAGAYAN,140111000.0,140100000,ABRA,140111000,LAGAYAN,LAGAYAN
22,22,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,Within,0.0,3.0,0.0,LANGIDEN,ABRA,LANGIDEN,140112000.0,140100000,ABRA,140112000,LANGIDEN,LANGIDEN
23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LANGIDEN,ABRA,LANGIDEN,140112000.0,140100000,ABRA,140112000,LANGIDEN,LANGIDEN
24,24,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Within,0.0,5.0,0.0,LICUAN-BAAY,ABRA,LICUANBAAY,140113000.0,140100000,ABRA,140113000,LICUAN-BAAY (LICUAN),LICUANBAAY LICUAN
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cross,0.0,0.0,0.0,LICUAN-BAAY,ABRA,LICUANBAAY,140113000.0,140100000,ABRA,140113000,LICUAN-BAAY (LICUAN),LICUANBAAY LICUAN
