,Pcode_province,name_province,Pcode_municipality,name_municipality_x,Pcode_barangay,name_barangay
0,PH012800000,ILOCOS NORTE,PH012801000,ADAMS,PH012801001,Adams (Pob.)
1,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802001,Bani
2,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802002,Buyon
3,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802003,Cabaruan
4,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802004,Cabulalaan
5,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802005,Cabusligan
6,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802006,Cadaratan
7,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802007,Calioet-Libong
8,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802008,Casilian
9,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802009,Corocor
10,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802011,Duripes
11,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802012,Ganagan
12,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802013,Libtong
13,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802014,Macupit
14,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802015,Nambaran
15,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802016,Natba
16,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802017,Paninaan
17,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802018,Pasiocan
18,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802019,Pasngal
19,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802020,Pipias
20,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802021,Pulangi
21,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802022,Pungto
22,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802024,San Agustin I (Pob.)
23,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802025,San Agustin II (Pob.)
24,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802027,San Andres I (Pob.)
25,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802028,San Andres II (Pob.)
26,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802030,San Gabriel I (Pob.)
27,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802031,San Gabriel II (Pob.)
28,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802033,San Pedro I (Pob.)
29,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802034,San Pedro II (Pob.)
30,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802036,San Roque I (Pob.)
31,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802037,San Roque II (Pob.)
32,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802039,San Simon I (Pob.)
33,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802040,San Simon II (Pob.)
34,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802041,San Vicente (Pob.)
35,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802042,Sangil
36,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802044,Santa Filomena I (Pob.)
37,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802045,Santa Filomena II (Pob.)
38,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802046,Santa Rita (Pob.)
39,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802047,Santo Cristo I (Pob.)
40,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802048,Santo Cristo II (Pob.)
41,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802050,Tambidao
42,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802051,Teppang
43,PH012800000,ILOCOS NORTE,PH012802000,BACARRA,PH012802052,Tubburan
44,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803001,Alay-Nangbabaan (Alay 15-B)
45,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803002,Alogoog
46,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803003,Ar-arusip
47,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803004,Aring
48,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803005,Balbaldez
49,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803006,Bato
50,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803007,Camanga
51,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803008,Canaan (Pob.)
52,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803009,Caraitan
53,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803011,Gabut Norte
54,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803012,Gabut Sur
55,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803013,Garreta (Pob.)
56,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803016,Labut
57,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803017,Lacuben
58,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803018,Lubigan
59,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803020,Mabusag Norte
60,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803021,Mabusag Sur
61,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803022,Madupayas
62,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803023,Morong
63,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803025,Nagrebcan
64,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803026,Napu
65,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803027,La Virgen Milagrosa (Paguetpet)
66,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803028,Pagsanahan Norte
67,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803029,Pagsanahan Sur
68,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803030,Paltit
69,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803031,Parang
70,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803032,Pasuc
71,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803034,Santa Cruz Norte
72,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803035,Santa Cruz Sur
73,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803036,Saud
74,PH012800000,ILOCOS NORTE,PH012803000,BADOC,PH012803037,Turod
75,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804001,Abaca
76,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804002,Bacsil
77,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804003,Banban
78,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804004,Baruyen
79,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804005,Dadaor
80,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804006,Lanao
81,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804007,Malasin
82,PH012800000,ILOCOS NORTE,PH012804000,BANGUI,PH012804008,Manayon
